Date,Open,High,Low,Close,Adj Close,Volume,Date2
12/1/15,124.47,133.27,113.85,114.38,114.38,319939200,12-01-2015
1/1/16,109,122.18,90.11,91.84,91.84,488193200,01-01-2016
2/1/16,91.79,97.48,79.95,93.41,93.41,389268900,02-01-2016
3/1/16,94.580002,104.910004,93.610001,102.230003,102.230003,311333700,03-01-2016
4/1/16,102.93,111.849998,88.209999,90.029999,90.029999,340174300,04-01-2016
5/1/16,90.410004,104,85.739998,102.57,102.57,264997900,05-01-2016
6/1/16,101.5,102.150002,84.809998,91.480003,91.480003,218216500,06-01-2016
7/1/16,95,101.269997,84.5,91.25,91.25,320138000,07-01-2016
8/1/16,91.230003,98.849998,90.5,97.449997,97.449997,182611000,08-01-2016
9/1/16,97.809998,100.349998,93.260002,98.550003,98.550003,169670600,09-01-2016
10/1/16,98,129.289993,97.629997,124.870003,124.870003,274097800,10-01-2016
11/1/16,124.980003,125.830002,110.68,117,117,147513000,11-01-2016
12/1/16,117.519997,129.070007,113.949997,123.800003,123.800003,128528700,12-01-2016
1/1/17,124.959999,143.460007,124.309998,140.710007,140.710007,181814100,01-01-2017
2/1/17,141.199997,145.949997,139.050003,142.130005,142.130005,91444800,02-01-2017
3/1/17,142.839996,148.289993,138.259995,147.809998,147.809998,110692700,03-01-2017
4/1/17,146.699997,153.520004,138.660004,152.199997,152.199997,149779000,04-01-2017
5/1/17,151.910004,164.75,151.610001,163.070007,163.070007,116795800,05-01-2017
6/1/17,163.520004,166.869995,147.300003,149.410004,149.410004,135699700,06-01-2017
7/1/17,149.800003,191.5,144.25,181.660004,181.660004,185144700,07-01-2017
8/1/17,182.490005,184.619995,164.229996,174.710007,174.710007,136534400,08-01-2017
9/1/17,175.550003,189.949997,172.440002,181.350006,181.350006,111427900,09-01-2017
10/1/17,182.110001,204.380005,176.580002,196.429993,196.429993,208657800,10-01-2017
11/1/17,197.240005,202.479996,184.320007,187.580002,187.580002,110996600,11-01-2017
12/1/17,186.990005,194.490005,178.380005,191.960007,191.960007,115103700,12-01-2017
1/1/18,196.100006,286.809998,195.419998,270.299988,270.299988,238377600,01-01-2018
2/1/18,266.410004,297.359985,236.110001,291.380005,291.380005,184585800,02-01-2018
3/1/18,292.75,333.980011,275.899994,295.350006,295.350006,263449400,03-01-2018
4/1/18,291.940002,338.820007,271.220001,312.459991,312.459991,262006000,04-01-2018
5/1/18,310.359985,356.100006,305.730011,351.600006,351.600006,142050800,05-01-2018
6/1/18,353.880005,423.209991,352.820007,391.429993,391.429993,244031800,06-01-2018
7/1/18,385.450012,419.769989,328,337.450012,337.450012,305393800,07-01-2018
8/1/18,335.869995,376.809998,310.929993,367.679993,367.679993,213122300,08-01-2018
9/1/18,366.470001,383.200012,335.829987,374.130005,374.130005,170832100,09-01-2018
10/1/18,375.850006,386.799988,271.209991,301.779999,301.779999,363589800,10-01-2018
11/1/18,304.589996,332.049988,250,286.130005,286.130005,257126400,11-01-2018
12/1/18,293.190002,298.720001,231.229996,267.660004,267.660004,234310000,12-01-2018
1/1/19,259.279999,358.850006,256.579987,339.5,339.5,306616400,01-01-2019
2/1/19,337.179993,371.48999,336.5,358.100006,358.100006,148192100,02-01-2019
3/1/19,362.26001,379,342.470001,356.559998,356.559998,144843100,03-01-2019
4/1/19,359,384.799988,342.269989,370.540009,370.540009,165079400,04-01-2019
5/1/19,374,385.98999,341.390015,343.279999,343.279999,125298300,05-01-2019
6/1/19,343.559998,375,332.649994,367.320007,367.320007,111052000,06-01-2019
7/1/19,373.5,384.76001,305.809998,322.98999,322.98999,196652500,07-01-2019
8/1/19,324.25,328.579987,287.200012,293.75,293.75,137076700,08-01-2019
9/1/19,290.820007,301.549988,252.279999,267.619995,267.619995,175411300,09-01-2019
10/1/19,267.350006,308.75,257.01001,287.410004,287.410004,231556400,10-01-2019
11/1/19,288.700012,316.820007,281.140015,314.660004,314.660004,113645900,11-01-2019
12/1/19,314.390015,338,292.019989,323.570007,323.570007,124723600,12-01-2019
1/1/20,326.100006,359.850006,321.200012,345.089996,345.089996,169874000,01-01-2020
2/1/20,347.23999,392.950012,346.279999,369.029999,369.029999,114070300,02-01-2020
3/1/20,373.109985,393.519989,290.25,375.5,375.5,201979100,03-01-2020
4/1/20,376.049988,449.519989,357.51001,419.850006,419.850006,225162100,04-01-2020
5/1/20,415.100006,458.970001,397.859985,419.730011,419.730011,135083200,05-01-2020
6/1/20,418.829987,474.01001,404.25,455.040009,455.040009,117279900,06-01-2020
7/1/20,454,575.369995,454,488.880005,488.880005,232227800,07-01-2020
8/1/20,490.859985,549.039978,466.549988,529.559998,529.559998,116269200,08-01-2020
9/1/20,532.599976,557.390015,458.600006,500.029999,500.029999,118806100,09-01-2020
10/1/20,506.029999,572.48999,472.209991,475.73999,475.73999,154313500,10-01-2020
11/1/20,478.869995,518.72998,463.410004,490.700012,490.700012,91788900,11-01-2020
12/1/20,492.339996,545.5,491.290009,540.72998,540.72998,77577900,12-01-2020
1/1/21,539,593.289978,485.670013,532.390015,532.390015,140029800,01-01-2021
2/1/21,536.789978,566.650024,518.280029,553.409973,553.409973,53874900,02-01-2021